1;Процедурное программирование на языке C++;17
2;Объектно-ориентированное программирование на языке C++;60
3;UML и паттерны проектирования;18
4;Язык программирования C#;32
5;Разработка Windows-приложений на языке C++;18
6;Разработка Windows-приложений на языке C#;18
7;Теория баз данных, программирование MS SQL Server;24
8;Системное программирование;24
9;Сетевое программирование;24
10;Управление программными проектами;18
11;Технология доступа к данным ADO.NET;24
12;Разработка Web-приложений с использованием технологии ASP.NET;18
13;Основы программирования на языке Java;96
14;HTML/CSS;18
15;JavaScript;24
16;Теория баз данных, программирование MySQL Server;24
17;Язык программирования PHP;24
18;NodeJS;18
19;ReactJS;18
20;Adobe Photoshop;24
21;Adobe Illustrator;24
22;AutoCAD;36
23;3DS Max;36
25;Autodesk Maya;44
26;Blender;24
27;Базовые технологии локальных сетей;24
28;Маршрутизация в IP-сетях;32
29;Протоколы прикладного уровня;32
30;Семейство протоколов IPv6;24
31;Hardware-PC;48
32;Администрирование Windows;48
33;Администрирование Windows Server;32
34;Администрирование UNIX;64
35;Язык программирования Java;36
